"X","Row.names","FPKM D0.A1_S9","FPKM D0.C7_S19","FPKM D0.C8_S20","FPKM D0","FPKM D2.A2_S10","FPKM D2.A3_S11","FPKM D2.A4_S12","FPKM D2","FPKM.A5_S21","FPKM.A6_S22","FPKM.A7_S23","FPKM.A8_S24","FPKM D5.B1_S1","FPKM D5.B2_S2","FPKM D5.B3_S15","FPKM D5","FPKM D10.B4_S4","FPKM D10.B5_S5","FPKM D10.B6_S18","FPKM D10","FPKM.B7_S7","FPKM.B8_S8","FPKM.C1_S13","FPKM.C2_S14","FPKM.C3_S15","FPKM.C4_S16","FPKM.C5_S17","FPKM.C6_S18","feature","pval","qval","gene_name","FC_0.2","FC_D2/D0","Log2FC_0.2","FC_0.5","FC_D5/D0","Log2FC_0.5","FC_0.10","FCD10/D0","Log2FC_0.10","FC_2.10","Log2FC_2.10","FC_2.v","Log2FC_2.v","mean0","mean2","mean5","mean10","meanCTL","meanvenus"
"5677","MSTRG.3125","10.619584","31.681791","25.484663","22.595346","12.334375","9.604005","10.256423","10.731601","16.252863116965","7.6551576195996","0","6.262472","23.662899511064","26.881108857745","16.124530918862","22.222846429224","18.08747896628","21.697145","24.002957382508","21.262527116263","22.474163869336","22.950708","24.528212","19.929356","0","0.536042","27.692066","21.700842","gene","0.50348675957718","0.69571393238728","NENF","2.5305194619508","0.47494740731122","1.3394335700005","1.2862090862677","0.98351432322496","0.36312518636905","1.3443005548545","0.94101356607961","0.42685572779071","0.5312350191601","-0.91257784220974","0.50814291056137","-0.97669379599455","28.583227","11.295399","22.222846429224","21.262527116263","24.696454","22.228784"
"6821","MSTRG.3672","3.6669372041331","0","0","1.2223124013777","6.5072725211693","0","6.8476651597782","4.4516458936492","1.7500178876008","0.19947739264113","0","1.7989933170363","2.2961517694052","1.7884964120464","1.0817022888105","1.7221168234207","5.0189045531754","4.8443245456149","2.9653840282258","4.276204375672","7.4843789652218","7.5792696839718","0","2.465569139869","0","0","0","0","gene","0.15348901482723","0.45156363792497","NET1","0","3.6419870146385","#REF!","0","1.4089007208629","#REF!","0","3.4984545447238","#REF!","1.5615410896782","0.64297053227561","5.416573992996","2.4373806290478","0","6.6774688404738","1.7221168234207","4.276204375672","0","1.2327845699345"
"7077","MSTRG.4723","0.216361","1.88298","1.146505","1.0819486666667","0.101349","1.582381","0.050062","0.57793066666667","5.46013","1.019162","0","0.690747","0.051618","0","0.124527","0.058715","0.098372","0.155003","0.20566","0.15301166666667","0.027038","0.080363","0","0.50777","6.985613","0","0","0.199133","gene","0.54958450996652","0.72504590167385","NEURL1","20.00835474305","0.53415719661376","4.3225306363625","25.798220216299","0.054267824166643","4.689199634424","9.8995229121962","0.14142229791555","3.3073589990515","0.49476946202359","-1.015171637311","0.29818815605491","-1.745705139547","1.5147425","0.0757055","0.058715","0.15301166666667","0.0995665","0.253885"
"3471","MSTRG.22415","4.875870796816","4.3294249041523","3.377663137699","4.1943196128891","1.0539786179222","1.7110119980305","9.3435965887083","4.036195734887","0.68843275315936","2.5508282658789","0","0.42563539061218","1.4976091870999","1.3573393334975","0.85185339849007","1.2356006396958","1.0213390595766","1.5926477541441","1.2956758416215","1.3032208851141","2.0017722420811","1.8817048042015","0.67561517331364","0.86952478975874","0","2.7063031690464","2.9833421759396","0.88669151255539","gene","0.16437457787212","0.46250072376882","NF2","0.74123898011687","0.96230047001755","-0.43198934338915","3.118761756124","0.29458905227414","1.6409733486767","2.9569385089991","0.31071091509318","1.5641042422122","3.9891837697646","1.9960935856014","6.7292125342198","2.7504376876816","3.8535440209256","5.1987876033153","1.2356006396958","1.3032208851141","1.9350168442475","0.77256998153619"
"831","MSTRG.13006","1.042035","4.33794","0.602177","1.9940506666667","1.0867753479758","2.505841","1.1663146413231","1.5863103297663","1.344367","1.795289","0","1.774997","3.67557","0.66072662583252","3.1117988896206","2.482698505151","0.514875","1.431980156402","0.149585","0.69881338546734","0.775531","1.639731","2.746373","1.949865","11.932027","0.023508","1.314323","3.05162","gene","0.18489487562875","0.47825721698883","NFAT5","2.1925964002607","0.79552157639906","1.1326402739679","0.99490876353902","1.2450528698457","-0.0073638631254528","3.5346468046661","0.35044916217475","1.8215660626686","1.6120827363603","0.68892578870066","0.47976486483411","-1.0596005879139","2.4700585","1.1265449946494","2.482698505151","0.69881338546734","2.1829715","2.348119"
"1658","MSTRG.15898","7.096602518617","2.8255568974164","3.0820342718465","4.3347312292933","1.4813846441869","3.3832834656155","6.325334862462","3.7300009907548","2.2482328330167","2.817375143427","0","3.0219435782675","3.9404554369301","3.5742793487842","5.6826708601824","4.3991352152989","7.323932350114","7.6399429726444","6.0190402315729","6.9943051847771","2.7842567898936","4.0685014640957","1.2248640427432","0.61574126101824","0","6.4190953347264","2.8871913723404","2.4173837638678","gene","0.0093239664825138","0.18027041560624","NFATC1","0.75673157774292","0.86049187214842","-0.40214644610637","0.67144914626835","1.0148576653543","-0.57464995689464","0.42231436956173","1.6135499099716","-1.2436107581371","0.55807684254613","-0.84146431203073","4.241387053865","2.0845361441492","2.9537955846314","3.9033597533245","4.3991352152989","6.9943051847771","2.6522875681041","0.9203026518807"
"656","MSTRG.12510","3.4057718402337","8.7551170713741","9.7994972682245","7.3201287266108","1.3520155374651","0.40753101549403","1.4500337586995","1.0698601038862","4.5630808112776","4.0708408298197","0","3.1067248376937","1.2663951145542","1.4885324241808","0.94881788442977","1.2345818077216","1.3222974071628","1.7444568768097","1.2568305941072","1.4411949593599","2.180477512319","2.3853719039878","0.82846556769113","0.45618963627127","16.422035119126","0.55197524104648","0.11549109677419","0.98225483870968","gene","0.18376408233382","0.47773771083458","NFATC2IP","6.6218015382513","0.14615318170526","2.7272237724276","7.5145341619121","0.16865575098885","2.9096836719221","6.4372325961504","0.19688109501692","2.6864405986053","0.97212708036707","-0.040783173822263","2.1811683691639","1.1251011390673","9.2773071697993","1.4010246480823","1.2345818077216","1.4411949593599","0.54887296774194","0.6423276019812"
"1306","MSTRG.14593","41.987154632282","22.019772967233","28.840660726537","30.949196108684","69.323274191141","63.616300752832","75.583228089604","69.507601011192","20.901574968649","18.31840946157","0","13.830646520429","62.96325392233","51.129281223301","51.950580515979","55.347705220537","79.040320264968","76.226263480785","75.200644070186","76.822409271979","84.202145848099","76.21327577144","101.30291746056","92.224256298139","31.455941275485","56.617776008091","79.044371621764","71.367472014159","gene","0.004192662481301","0.13161247132261","NFE2L1","0.35098793286192","2.2458612742994","-1.5105066640713","0.459462894542","1.7883406414232","-1.121979738317","0.33102602597183","2.4822101679864","-1.5949834456361","0.94312651512739","-0.084476781564789","0.74876566151596","-0.41741382061853","25.430216846885","72.453251140372","55.347705220537","76.822409271979","75.205921817961","96.763586879349"
"6250","MSTRG.33945","0.13236010771114","7.8004543451652","6.8515456364749","4.9281200297838","1.7679830232558","1.1194777348021","1.8286998580171","1.5720535386917","3.3728154345165","2.3692141676867","0","1.9973491860465","4.3140138678091","3.3776370501836","0.58123266829865","2.7576278620971","4.1062063157895","1.0446105201958","1.0657080660955","2.0721749673603","3.5579661566708","3.1842075764994","9.8316731309669","2.1976706568747","0","2.7038809118727","3.3578059828641","0.07283405630355","gene","0.95682469275695","0.96510643363568","NFIL3","4.0737536405919","0.31899660097375","2.0263587362578","2.6566311181846","0.55956994663908","1.4095979188665","3.5354157376742","0.42047980869719","1.8218798748408","0.86785212106262","-0.20447886141706","0.2989924425394","-1.7418190761788","7.3259999908201","1.7983414406365","2.7576278620971","2.0721749673603","1.7153200195838","6.0146718939208"
"4403","MSTRG.25958","3.5182780028874","5.1768646703561","2.3869472786333","3.6940299839589","7.1917274266121","4.693994276949","5.7693734756978","5.8850317264196","2.4408012608277","1.4629086802214","0","1.2717973219442","4.233584503128","5.2452756424447","4.4165236323388","4.6317945926372","5.1990827403754","5.3591821852743","3.7443978897979","4.7675542718158","6.7532365546198","6.9724471794995","1.0021853561117","3.3529416578441","0","5.4279761862368","3.7335592721367","3.0901295067373","gene","0.07218002431184","0.38153485975722","NFKB1","0.58357789249533","1.5931196422268","-0.77700286377594","0.81650986434212","1.2538595010735","-0.29245777964358","0.79325913432219","1.2906106048188","-0.3341358661186","1.3593029217236","0.44286699765734","2.9760557753601","1.5734015647798","3.7819059744947","6.480550451155","4.6317945926372","4.7675542718159","3.411844389437","2.1775635069779"
